"","Fold1","Fold2","Fold3","Fold4","Fold5","Fold6","Fold7","Fold8","Fold9","Fold10","NA"
"LDA",0.898301014588461,0.899921954733746,0.894632564841499,0.896860178903764,0.894939064657501,0.902983730563727,0.895839586960437,0.897580596746113,0.896680074443177,0.897640631566308,0.897691121179987
"QDA",0.89397850753437,0.899801885093354,0.896379900342198,0.896860178903764,0.8960734870317,0.89734045746533,0.896019691421024,0.896319865522003,0.896620039622981,0.895899621780633,0.897112696423407
"LR",0.891397010265954,0.89313802005163,0.891997358467911,0.889716035300474,0.895119169118089,0.892597706669868,0.890076244221649,0.894572526416907,0.891817254007324,0.894879029837306,0.893160127253446
"RF",0.961185715562534,0.957262536151213,0.958819934103114,0.959323986901219,0.957091381340489,0.959012099206264,0.958468700605057,0.962274537362844,0.962343391652579,0.961495669085073,0.961185715562534
